Mission,Spacecraft,Launch date,Carrier rocket,Operator,Mission type,Outcome
Surveyor 5,Surveyor 5,08-09-1967,Atlas SLV-3C Centaur-D,NASA,Lander,Technology demonstration for planned crewed missions; unable to achieve orbit after second-stage engine failed to ignite.[50]
Soyuz 7K-L1 No.4L,Soyuz 7K-L1 No.4L,27-09-1967,Proton-K/D,Lavochkin,Flyby,Final Surveyor mission.[60] Landed 29 kilometres (18 mi) from Tycho crater at 01:05:36 UTC on 10 January. Operated until 21 February 1968.[61]
Surveyor 6,Surveyor 6,07-11-1967,Atlas SLV-3C Centaur-D,NASA,Lander,Failed to orbit after third stage ran out of fuel.[61]
Soyuz 7K-L1 No.5L,Soyuz 7K-L1 No.5L,22-11-1967,Proton-K/D,Lavochkin,Flyby,Tested communications for proposed crewed missions and studied the mass concentration of the Moon. Entered orbit on 10 April at 19:25 UTC.[62]
Surveyor 7,Surveyor 7,07-01-1968,Atlas SLV-3C Centaur-D,NASA,Lander,Technology demonstration for planned crewed missions. Failed to orbit after second-stage engine incorrectly commanded to shut down. Spacecraft was recovered using its prototype launch escape system.[61]
Luna E-6LS No.112,Luna E-6LS No.112,07-02-1968,Molniya-M,Lavochkin,Orbiter,"Two tortoises and other life forms on board a technology demonstration for planned crewed missions. Made a closest approach of 1,950 kilometres (1,210 mi) on 18 September, and circled the Moon before returning to Earth. Landed in the Indian Ocean on 21 September at 16:08 UTC, becoming the first Lunar spacecraft to be recovered successfully and carried the first Earth life to travel to and around the Moon.[63]"
Luna 14 (E-6LS No.113),Luna 14,07-04-1968,Molniya-M,Lavochkin,Orbiter,"Technology demonstration for planned crewed missions. Carrying turtles in the second mission of earthlings[clarification needed] to close proximity of the Moon, the flyby was on 14 November, with a closest approach of 2,420 kilometres (1,500 mi).[64] Reentered Earth's atmosphere on 17 November; however, recovery was unsuccessful after parachutes were prematurely jettisoned.[61]"
Soyuz 7K-L1 No.7L,Soyuz 7K-L1 No.7L,22-04-1968,Proton-K/D,Lavochkin,Flyby,First crewed mission to the Moon; entered orbit around the Moon with four-minute burn beginning at 09:59:52 UTC on 24 December. Completed ten orbits of the Moon before returning to Earth with an engine burn at 06:10:16 UTC on 25 December. Landed in the Pacific Ocean at 15:51 UTC on 27 December.[65]
Zond 5 (7K-L1 No.9L),Zond 5,14-09-1968,Proton-K/D,Lavochkin,Flyby,Technology demonstration for planned crewed missions. Failed to orbit after one of the four second-stage engines shut down prematurely. Third-stage engine also shut down prematurely. The spacecraft was recovered using its launch escape system.[66]
Zond 6 (7K-L1 No.12L),Zond 6,10-11-1968,Proton-K/D,Lavochkin,Flyby,First launch of the Lunokhod rover. Launch vehicle disintegrated 51 seconds after launch and exploded.[67]
Apollo 8,Apollo 8,21-12-1968,Saturn V,NASA,Crewed orbiter,First launch of N1 rocket; intended to orbit the Moon and return to Earth. First stage prematurely shut down 70 seconds after launch; launch vehicle crashed 50 kilometres (31 mi) from launch site. Spacecraft landed some 35 kilometres (22 mi) from the launch pad after successfully using its launch escape system.[67]
Soyuz 7K-L1 No.13L,Soyuz 7K-L1 No.13L,20-01-1969,Proton-K/D,Lavochkin,Flyby,Dress rehearsal for Apollo 11. Lunar Module with two astronauts on board descended to a distance of 14.326 kilometres (8.902 mi) above the lunar surface.[68]
Luna E-8 No.201,Luna E-8 No.201,19-02-1969,Proton-K/D,Lavochkin,Lander,Intended to land on the Moon and return lunar soil sample. Did not reach Earth orbit after fourth stage failed to ignite.[66]
Luna E-8 No.201,Lunokhod,19-02-1969,Proton-K/D,Lavochkin,Rover,Intended to orbit the Moon and return to Earth. All first-stage engines shut down 10 seconds after launch; launch vehicle crashed and exploded on the launch pad. Spacecraft landed safely 2 kilometres (1.2 mi) from the launch site after using launch escape sequence.[67]
Soyuz 7K-L1S No.3,Soyuz 7K-L1S No.3,21-02-1969,N1,OKB-1,Orbiter,Reached lunar orbit at 10:00 UTC on 17 July. Descent retro-rocket burn started at 15:47 UTC on 21 July. Contact lost three minutes after de-orbit burn; probably crashed on the Moon.[67]
Apollo 10,Apollo 10,18-05-1969,Saturn V,NASA,Orbiter,First crewed landing on the Moon. The Lunar Module Eagle landed at 20:17 UTC on 20 July 1969.
Luna E-8-5 No.402,Luna E-8-5 No.402,14-06-1969,Proton-K/D,Lavochkin,Lander,"Technology demonstration for planned crewed missions. Carried four turtles in a lunar flyby on 10 August, with a closest approach of 1,200 kilometres (750 mi); returned to Earth and landed in Kazakhstan at 18:13 UTC on 14 August.[67]"
Luna E-8-5 No.402,Luna E-8-5 No.402 Return Craft,14-06-1969,Proton-K/D,Lavochkin,Sample Return,"Third attempt at lunar sample return. After reaching low Earth orbit, the fourth-stage engine failed to fire for trans-lunar injection due to oxidiser leak. Spacecraft re-entered Earth's atmosphere about 4 days after launch.[67]"
Soyuz 7K-L1S No.5,Soyuz 7K-L1S No.5,03-07-1969,N1,OKB-1,Orbiter,"Fourth attempt at lunar sample return. After reaching low Earth orbit, the fourth-stage engine failed to fire for trans-lunar injection due to control system malfunction. Spacecraft re-entered Earth's atmosphere within one orbit after launch.[67]"
Luna 15 (E-8-5 No.401),Luna 15,13-07-1969,Proton-K/D,Lavochkin,Lander,Second crewed lunar landing.
Luna 15 (E-8-5 No.401),Luna 15 Return Craft,13-07-1969,Proton-K/D,Lavochkin,Sample Return,Failed to orbit
Apollo 11,Apollo 11,16-07-1969,Saturn V,NASA,Orbiter,Lunar landing aborted following Service Module oxygen tank explosion en route to the Moon; flew past the Moon (free-return trajectory) and returned the crew safely to Earth.
Apollo 11,Apollo 11 Lunar Module,16-07-1969,Saturn V,NASA,Lander/Launch Vehicle,First robotic sampling mission.
Zond 7 (7K-L1 No.11L),Zond 7,07-08-1969,Proton-K/D,Lavochkin,Flyby,Technology demonstration for planned crewed missions; returned to Earth successfully.
Kosmos 300 (E-8-5 No.403),Kosmos 300,23-09-1969,Proton-K/D,Lavochkin,Lander,Luna 17 deployed Lunokhod 1.
Kosmos 300 (E-8-5 No.403),Kosmos 300 Return Craft,23-09-1969,Proton-K/D,Lavochkin,Sample return,Third crewed lunar landing.
Kosmos 305 (E-8-5 No.404),Kosmos 305,22-10-1969,Proton-K/D,Lavochkin,Lander,"Fourth crewed lunar landing, and first to use the Lunar Roving Vehicle."
Kosmos 305 (E-8-5 No.404),Kosmos 305 Return Craft,22-10-1969,Proton-K/D,Lavochkin,Sample Return,PFS-1 was deployed from Apollo 15.
Apollo 12,Apollo 12,14-11-1969,Saturn V,NASA,Orbiter,Failed during descent to lunar surface.
Apollo 12,Apollo 12 Lunar Module,14-11-1969,Saturn V,NASA,Lander/Launch Vehicle,Entered an orbit around the Moon on 2 October 1971 after two midcourse corrections on 29 September and 1 October.
Luna E-8-5 No.405,Luna E-8-5 No.405,06-02-1970,Proton-K/D,Lavochkin,Lander,"Luna 20 soft landed on the Moon in a mountainous area known as the Terra Apollonius (or Apollonius highlands) near Mare Fecunditatis (Sea of Fertility), 120 km from where Luna 16 had landed."
Apollo 13,Apollo 13,11-04-1970,Saturn V,NASA,Orbiter,5th crewed lunar landing.
Apollo 13,Apollo 13 Lunar Module,11-04-1970,Saturn V,NASA,Lander/Launch Vehicle,PFS-2 deployed from Apollo 16.
Luna 16 (E-8-5 No.406),Luna 16,12-09-1970,Proton-K/D,Lavochkin,Lander,Failed to orbit; intended to orbit the Moon and return to Earth.
Luna 16 (E-8-5 No.406),Luna 16 Return Craft,12-09-1970,Proton-K/D,Lavochkin,Sample return,Sixth and last crewed lunar landing and last use of the Lunar Roving Vehicle; the orbiting command module included five mice.
Zond 8 (7K-L1 No.14L),Zond 8,20-10-1970,Proton-K/D,Lavochkin,Flyby,Deployed Lunokhod 2.
Luna 17 (E-8 No.203),Luna 17,10-11-1970,Proton-K/D,Lavochkin,Lander,"Radio astronomy spacecraft, operated in selenocentric orbit to avoid interference from terrestrial radio sources."
Luna 17 (E-8 No.203),Lunokhod 1,10-11-1970,Proton-K/D,Lavochkin,Rover,"Interplanetary spacecraft, mapped lunar north pole to test cameras."
Apollo 14,Apollo 14,31-01-1971,Saturn V,NASA,Orbiter,Inserted into a circular lunar orbit on 2 June 1974
Apollo 14,Apollo 14 Lunar Module,31-01-1971,Saturn V,NASA,Lander/Launch Vehicle,"Tipped over upon landing, precluding any sample return attempt. Functioned for three days on surface."
Apollo 15,Apollo 15,26-07-1971,Saturn V,NASA,Orbiter,Failed to orbit.
Apollo 15,Apollo 15 Lunar Module,26-07-1971,Saturn V,NASA,Lander/Launch Vehicle,Entered orbit on 11 August 1976 and landed in Mare Crisium at 16:36 UTC on 18 August. Sample capsule launched at 05:25 UTC on 19 August and recovered 96+1⁄2 hours later.[69] Returned 170.1 grams (6.00 oz) of lunar regolith.[70] Final mission to the Moon from the Soviet Union.
Apollo 15,Lunar Roving Vehicle,26-07-1971,Saturn V,NASA,Rover,Five flybys in 1982 and 1983 en route to comet 21P/Giacobini–Zinner.
PFS-1,PFS-1,26-07-1971,Saturn V,NASA,Orbiter,"Designed for flyby, placed into selenocentric orbit during extended mission after failure of Hagoromo. Deorbited and impacted in USGS quadrangle LQ27 on 10 April 1993.[71] Hagoromo was deployed from Hiten. The impact made Japan the 3rd country to reach the surface of the Moon."
Luna 18 (E-8-5 No.407),Luna 18,02-09-1971,Proton-K/D,Lavochkin,Lander,Series of flybys to regulate high Earth orbit.
Luna 18 (E-8-5 No.407),Luna 18 Return Craft,02-09-1971,Proton-K/D,Lavochkin,Sample return,Made two flybys on 1 December 1994 and 27 December 1994 to reach the Earth–Sun L1 Lagrangian point.
Luna 19 (E-8LS No.202),Luna 19,28-09-1971,Proton-K/D,Lavochkin,Orbiter,Completed Lunar objectives successfully; failed following departure from selenocentric orbit.
Luna 20 (E-8-5 No.408),Luna 20,14-02-1972,Proton-K/D,Lavochkin,Lander,Communications satellite; made two flybys in May and June 1998 en route to geosynchronous orbit after delivery into wrong orbit.
Luna 20 (E-8-5 No.408),Luna 20 Return Craft,14-02-1972,Proton-K/D,Lavochkin,Sample return,"The mission ended on July 31, 1999"
Apollo 16,Apollo 16,16-04-1972,Saturn V,NASA,Orbiter,Two flybys en route to Mars.
Apollo 16,Apollo 16 Lunar Module,16-04-1972,Saturn V,NASA,Lander/Launch Vehicle,Flyby on 30 July 2001 to reach the Earth–Sun L2 Lagrangian point.
Apollo 16,Lunar Roving Vehicle,16-04-1972,Saturn V,NASA,Rover,Impacted Moon in USGS quadrangle LQ26 at end of mission on 3 September 2006. The impact made ESA member states the 4th to reach the surface of the Moon.
PFS-2,PFS-2,16-04-1972,Saturn V,NASA,Orbiter,Both component spacecraft entered heliocentric orbit on 15 December 2006.
Soyuz 7K-LOK No.1,Soyuz 7K-LOK No.1,03-07-1972,N1,OKB-1,Orbiter,Operational
Apollo 17,Apollo 17,07-12-1972,Saturn V,NASA,Orbiter,Operational
Apollo 17,Apollo 17 Lunar Module,07-12-1972,Saturn V,NASA,Lander/Launch Vehicle,Two THEMIS spacecraft moved to selenocentric orbit for extended mission; entered orbit July 2011.
Apollo 17,Lunar Roving Vehicle,07-12-1972,Saturn V,NASA,Rover,Deployed Okina and Ouna satellites. Kaguya and Okina impacted the Moon at end of mission.[72] Ouna completed operations on 29 June 2009[73] but remains in selenocentric orbit.
Luna 21 (E-8 No.204),Luna 21,08-01-1973,Proton-K/D,Lavochkin,Lander,"Impacted Moon in USGS quadrangle LQ21 on 1 March 2009, at end of mission. The impact made China the 6th country to reach the surface of the Moon."
Luna 21 (E-8 No.204),Lunokhod 2,08-01-1973,Proton-K/D,Lavochkin,Rover,"Succeeded through mission. Orbit lasted 312 days, short of intended 2 years; However mission achieved most of its intended objectives. Terminated in 2009, remains in selenocentric orbit; discovered water ice on the Moon.[74] Moon Impact Probe was deployed from the orbiter. It successfully impacted Moon's Shackleton Crater in the USGS quadrangle LQ30 at 20:31 on 14 November 2008 releasing underground debris that could be analyzed by the orbiter for presence of water/ice. With this mission, India became the first to impact the Lunar south pole and the 5th nation to reach the lunar surface."
Explorer 49 (RAE-B),Explorer 49,10-06-1973,Delta 1913,NASA,Orbiter,Operational
Mariner 10,Mariner 10,03-11-1973,Atlas SLV-3D Centaur-D1A,NASA,Flyby,"Entered orbit on June 23, 2009"
Luna 22 (E-8LS No.206),Luna 22,29-05-1974,Proton-K/D,Lavochkin,Orbiter,"Observed impact of Centaur upper stage that launched it and LRO, then impacted itself. Impacts in USGS quadrangle LQ30."
Luna 23 (E-8-5M No.410),Luna 23,16-10-1975,Proton-K/D,Lavochkin,Lander,"Following completion of six month Lunar mission, departed selenocentric orbit for Earth–Sun L2 Lagrangian point;[75] subsequently flew by asteroid 4179 Toutatis.[76]"
Luna 23 (E-8-5M No.410),Luna 23 Return Craft,16-10-1975,Proton-K/D,Lavochkin,Sample Return,Impacted the Moon in USGS quadrangle LQ01 on 17 December 2012 at end of mission.[79]
Luna E-8-5M No.412,Luna E-8-5M No.412,16-10-1975,Proton-K/D,Lavochkin,Lander,"Mission ended on 18 April 2014, when the spacecraft's controllers intentionally crashed LADEE into the far side of the Moon."
Luna E-8-5M No.412,Luna E-8-5M No.412 Return Craft,16-10-1975,Proton-K/D,Lavochkin,Sample Return,Operational
Luna 24 (E-8-5M No.413),Luna 24,09-08-1976,Proton-K/D,Lavochkin,Lander,Entered orbit on 6 December 2013 with landing at 13:12 UTC on 14 December. Yutu rover was deployed from Chang'e 3.
Luna 24 (E-8-5M No.413),Luna 24 Return Craft,09-08-1976,Proton-K/D,Lavochkin,Sample Return,Demonstration of re-entry capsule for Chang'e 5 sample-return mission at lunar return velocity.
ISEE-3 (ICE/Explorer 59),ISEE-3,12-08-1978,Delta 2914,NASA,Flyby,Attached to third stage of CZ-3C used to launch Chang'e 5-T1. Impacted the Moon on 4 March 2022. The impact made Luxembourg the 8th country to reach the surface of the Moon.
Hiten (MUSES-A),Hiten,24-01-1990,Mu-3S-II,ISAS,Orbiter,Flyby on 17 May 2018 to designated high Earth orbit.[80]
Hiten (MUSES-A),Hagoromo,24-01-1990,Mu-3S-II,ISAS,Orbiter,Operational
Geotail,Geotail,24-07-1992,Delta II 6925,ISAS/NASA,Flyby,Entered designated Earth–Moon L2 orbit on 14 June in preparation of Chang'e 4 far-side lunar lander in December 2018.
WIND,WIND,01-11-1994,Delta II 7925-10,NASA,Flyby,"Launched on the same rocket as Queqiao. Longjiang-1 never entered Moon orbit,[81] while Longjiang-2 operated in lunar orbit until 31 July 2019, when it impacted the lunar surface.[82]"
Clementine (DSPSE),Clementine,25-01-1994,Titan II (23)G Star-37FM,USAF/NASA,Orbiter,Operational
HGS-1,HGS-1,24-12-1997,Proton-K/DM3,Hughes,Flyby,Operational
Lunar Prospector (Discovery 3),Lunar Prospector,07-01-1998,Athena II,NASA,Orbiter,First spacecraft to soft land on the far side of the Moon (South Pole–Aitken basin). Landed 3 January 2019 and deployed the Yutu-2 rover.[83][84]
Nozomi (PLANET-B),Nozomi,03-07-1998,M-V,ISAS,Flyby,First Israeli and first privately funded lunar lander mission. Technology demonstration. Instrumentation included a magnetometer and laser retroreflector.[85][86] Spacecraft crashed into the lunar surface after main engine failure during descent from lunar orbit phase.[87] The impact made Israel the 7th country to reach the surface of the Moon.
WMAP,WMAP,30-06-2001,Delta II 7425-10,NASA,Flyby,Operational
SMART-1,SMART-1,27-09-2003,Ariane 5G,ESA,Orbiter,"Entered orbit on 20 August 2019. Lander separated from orbiter but crashed during a landing attempt on 6 September 2019, attributed to a software glitch. Both lander and rover were lost. Orbiter remained operational.[88]"
